Date,Asset,Close_Price,Volume,Market_Cap
2019-01-01,AAPL,1529.4334694470817,324638,1308610451267.832
2019-01-02,AAPL,3805.3215103191687,19318,1817956180795.3586
2019-01-03,AAPL,2941.37607015505,695079,576104971956.1556
2019-01-04,AAPL,2414.7010125782945,988384,539343051651.94806
2019-01-05,AAPL,666.2736297476242,359672,1235805935748.093
2019-01-06,AAPL,666.1783553280004,762090,1552785380896.2676
2019-01-07,AAPL,279.43026806438786,76529,1738049280330.2644
2019-01-08,AAPL,3471.395775810994,40102,500162591021.3745
2019-01-09,AAPL,2424.4042963856746,20006,1480658159023.0588
2019-01-10,AAPL,2846.8866822943796,796480,615116968897.771
2019-01-11,AAPL,131.30875246841967,416165,1090079028660.1604
2019-01-12,AAPL,3881.1439160398777,207676,382514090116.8739
2019-01-13,AAPL,3338.148431161666,18909,292858046142.0644
2019-01-14,AAPL,888.7394871791909,949839,1870671796717.5413
2019-01-15,AAPL,768.2086204680475,35184,1094851301558.7178
2019-01-16,AAPL,774.4478139210636,455039,10174504439.117443
2019-01-17,AAPL,1251.756859690174,324359,1587079651685.1414
2019-01-18,AAPL,2122.7879049473395,199402,1382049393930.6863
2019-01-19,AAPL,1756.1828236363572,159713,652439726350.4155
2019-01-20,AAPL,1200.3551037822656,331400,928464600702.1544
2019-01-21,AAPL,2466.818934153399,7826,900309115127.919
2019-01-22,AAPL,601.0007495755652,357460,550264620721.8406
2019-01-23,AAPL,1203.9713617141117,826995,1961133523154.5925
2019-01-24,AAPL,1497.1292810100822,53828,1088226280377.0475
2019-01-25,AAPL,1851.4764376572919,628668,1794661602464.3855
2019-01-26,AAPL,3151.4450475024037,114766,1171125415937.8245
2019-01-27,AAPL,838.711439525521,531657,1380676064013.4429
2019-01-28,AAPL,2081.226031733766,566600,60055344510.69693
2019-01-29,AAPL,2390.0375470050676,372871,1024125280239.3802
2019-01-30,AAPL,233.47913024399102,239995,1442832288993.59
2019-01-31,AAPL,2449.8021650106816,137898,244604213437.826
2019-02-01,AAPL,723.5702885648016,655659,1356971600107.1687
2019-02-02,AAPL,306.9537922918541,920696,169460181639.73273
